,index,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template,task,sub_id,exp,Correct,Shorter,Length
6811,19642,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,202,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech5,863,99,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,5
6812,19643,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,393,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech1,984,100,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,1
6813,19644,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,208,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech6,880,101,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,6
6814,19645,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,223,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech2,831,102,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,2
6815,19646,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,470,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech8,1202,103,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,8
6816,19647,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,210,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech6,896,104,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,6
6817,19648,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,216,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech4,861,105,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,4
6818,19649,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,917,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech8,1636,106,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,8
6819,19650,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,449,[],choice-response,At,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech2,1047,107,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,1,2
6820,19651,67ca029ac8e84b59170a9911,EXP9a_JF,0,046d32d8012805dd83ead5892469dcf71b4dace59f8f77d059ec8f1f6c97c69b,2915.107614,False,keypress,EXP9a_testRsp_rv,220,[],choice-response,Add,682d85b98cfb0070d530a7a2,2025-05-21 03:50:17-04:00,speech1,786,108,DiscriminationTrials_rv,DiscriminationTrials,046d3,EXP9a,0,0,1
