"","participant_id","sub_id","exp","Onset","Length","Shorter","Correct","rLength","fOnset","Explabel","fOnsetE"
"69","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",7,0,0,1.09107531487555,"ontime","EXP10b","ontime"
"70","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",5,0,0,0.218215062975111,"early","EXP10b","early"
"71","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",8,0,0,1.52750544082578,"early","EXP10b","early"
"72","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",1,1,0,-1.52750544082578,"late","EXP10b","late"
"73","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",1,1,0,-1.52750544082578,"early","EXP10b","early"
"74","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",7,0,0,1.09107531487555,"ontime","EXP10b","ontime"
"75","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",2,1,0,-1.09107531487555,"late","EXP10b","late"
"76","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",5,0,0,0.218215062975111,"early","EXP10b","early"
"77","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",2,1,0,-1.09107531487555,"early","EXP10b","early"
"78","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",2,1,0,-1.09107531487555,"ontime","EXP10b","ontime"
"79","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",4,0,0,-0.218215062975111,"late","EXP10b","late"
"80","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",4,1,0,-0.218215062975111,"early","EXP10b","early"
"81","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",3,1,0,-0.654645188925333,"ontime","EXP10b","ontime"
"82","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",6,0,0,0.654645188925333,"late","EXP10b","late"
"83","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",3,0,0,-0.654645188925333,"late","EXP10b","late"
"84","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",8,0,0,1.52750544082578,"ontime","EXP10b","ontime"
"85","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",7,0,0,1.09107531487555,"early","EXP10b","early"
"86","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",5,0,0,0.218215062975111,"late","EXP10b","late"
"87","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",5,0,0,0.218215062975111,"ontime","EXP10b","ontime"
"88","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",1,1,0,-1.52750544082578,"ontime","EXP10b","ontime"
"89","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",1,1,0,-1.52750544082578,"late","EXP10b","late"
"90","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",6,0,0,0.654645188925333,"early","EXP10b","early"
"91","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",4,1,0,-0.218215062975111,"ontime","EXP10b","ontime"
"92","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",7,1,0,1.09107531487555,"late","EXP10b","late"
"93","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",3,1,0,-0.654645188925333,"early","EXP10b","early"
"94","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",6,0,0,0.654645188925333,"ontime","EXP10b","ontime"
"95","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",8,0,0,1.52750544082578,"early","EXP10b","early"
"96","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",8,0,0,1.52750544082578,"late","EXP10b","late"
"97","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",3,0,0,-0.654645188925333,"late","EXP10b","late"
"98","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","ontime",3,1,0,-0.654645188925333,"ontime","EXP10b","ontime"
"99","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",6,0,0,0.654645188925333,"early","EXP10b","early"
"100","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","late",8,0,0,1.52750544082578,"late","EXP10b","late"
"101","4f00adbe6ea08f7e8f76291d0ede24727cfda3061512742b6a355648e53e0cf5","4f00a","EXP10b","early",4,1,0,-0.218215062975111,"early","EXP10b","early"
