branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,269,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1709,63,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,188,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1309,64,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,326,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,1602,65,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,465,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,long_tone_8,3791,66,EXP8c_PretestTrials_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_testRsp,551,[],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,short_tone_1,1780,67,EXP8c_PretestTrials_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,True,keypress,EXP8c_exampleRsp_s_F,2275,['Lap'],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,single_300ms_ontime_delay_2_tone_Lab_1,8644,68,EXP8c_example_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,False,keypress,EXP8c_exampleRsp_l_J,720,['Lab'],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,single_300ms_ontime_delay_2_tone_Lab_8,7304,69,EXP8c_example_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,True,keypress,EXP8c_exampleRsp_l_J,855,['Lab'],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,single_300ms_ontime_delay_2_tone_Lab_8,7404,70,EXP8c_example_l
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,True,keypress,EXP8c_exampleRsp_s_F,707,['Lap'],choice-response,Lap,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,single_300ms_ontime_delay_2_tone_Lab_1,8317,71,EXP8c_example_s
pass,6345b7f49677d36bd07c5a10,EXP8c_FJ,0,2ab1f3c00a463a452d042a457c55214abd7f82feac1b545f6dcc94d6affdb2c1,2407.6178839206696,True,keypress,EXP8c_exampleRsp_l_J,554,['Lab'],choice-response,Lab,6347bd0363630e047ced3758,2022-10-13 03:23:47-04:00,single_300ms_ontime_delay_2_tone_Lab_8,7142,72,EXP8c_practiceTrials_l
